audio, parlante inalambrc,"mmvp6049blk","parlante inalámbrico teros vibe vb-6049blk, bt 5.3, 60w, 4000mah, usb, luces rgb[@@@]",>20,33.00, ,"","Y","teros"		
audio, parlante inalambrc,"mmvp6049or","parlante inalámbrico teros vibe vb-6049or, bt 5.3, 60w, 4000mah, usb, luces rgb[@@@]p",>20,33.00, ,"","Y","teros"		
audio, parlante inalambrc,"zzmmspte6046nto","zzparlant te6046n 40w(toshiba)",6,999.00, ,"","Z","toshiba - storage"		
audio, parlante inalambrc,"zzmmteleg6051lg","teros legacy 6051 s green lg",>20,999.00, ,"","D","teros"		
audio, parlante inalambrc,"zzmmtevib6054lg","teros vibe 6054 series rgb lg",9,999.00, ,"","D","teros"		
audio, parlante inalambrc,"zzte6046nm","parlante teros te6046n bt 40w", ,26.00, ,"","Y","western digital"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","BAREBONE","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
barebone,"bbadvmp3155","mini pc advance nuc adv-mp3155 intel n95 hasta 3.40ghz, ddr4, hdmi, dp, usb 2.0/3.0, ",>20,177.00, ,"","D","advance computer corp"		
_______________,"_______________","__________________________________","__________"		
 ,"CODIGO","BAREBONES PARA PC","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"		
barebones para pc,"bbadvmp6560","mini pc advance nuc core i5-12450h hasta 4.4ghz, ddr4, hdmi, dp, usb 3.0, bt[@@@]pote", ,297.00, ,"","D","advance computer corp"		
barebones para pc,"bbasnuc14n150d5","bb as nuc14 core n150 3.60g d5",>20,155.00, ,"","F","asus"		
barebones para pc,"bbasnuc9185hd5","barebone-mini pc asus nuc 14 pro+ ultra9 slim, core ultra 9 185h 2.3/5.1ghz/6c/24mb c",8,761.00, ,"","F","asus"		
barebones para pc,"bbasnucc3100u5","barebone asus nuc 15 pro, intel core 3 100u 1.2 /4.7ghz/6c/8t/10mb smart cache[@@@]la",>20,351.50, ,"","F","asus"		
barebones para pc,"bbasnucc5210hl","barebone asus nuc 15 pro slim, intel core 5 210h 2.2 / 4.8ghz/8c/12t/12mb smart cache",14,431.00, ,"","F","asus"		
barebones para pc,"bbasnucc7240h5l","barebone asus nuc 15 pro slim, intel core 7 240h 2.5 / 5.2ghz/10c/16t/24mb smart cach",5,596.81, ,"","F","asus"		
